,skinTemp,RH,windspeed,windquad,UHIp,windquad_cat,surface_pressure
6188,19.62423095703128,0.5268443738689633,7.42076156347666,5,forte,Quinto,994.5428
6189,19.072290039062523,0.5288773597895537,7.942482946975471,5,forte,Quinto,994.0597
6190,18.762963867187523,0.5302170515978768,8.103960614181572,5,forte,Quinto,993.8753
6366,38.04372558593752,0.4672614754873168,11.79782055789387,8,forte,Oitavo,990.03875
6367,39.86428222656252,0.4637016223697844,9.841984504431677,8,forte,Oitavo,989.4766
6368,41.11849365234377,0.4580017362608732,7.4213636845235555,8,forte,Oitavo,988.6745
6369,41.99660644531252,0.4551237300498397,5.718358210437744,8,forte,Oitavo,987.65734
6370,41.02053222656252,0.4592729030796992,5.387711949906167,8,forte,Oitavo,986.5373
6371,40.35195312500002,0.4473360018218851,5.689328297582401,8,forte,Oitavo,985.3484
6373,38.49672851562502,0.4526469140901856,5.667240016743619,1,forte,Primeiro,984.2814
6374,35.08919677734377,0.4663520460881477,3.739970097271263,1,forte,Primeiro,984.47016
6378,25.419610595703148,0.5114932871670279,7.5766977111103,8,forte,Oitavo,989.3015
6656,36.23989257812502,0.4744897275776151,4.666765597063732,4,forte,Quarto,991.55625
6658,37.10268554687502,0.4655858704550304,3.567865241841933,5,forte,Quinto,989.34875
6659,36.46669921875002,0.4658952589571736,5.6149424820970975,5,forte,Quinto,988.2725
6953,19.924584960937523,0.5256810655380165,5.706688952118953,5,forte,Quinto,994.7814
6954,19.334039306640648,0.529505543714682,5.57438324513148,5,forte,Quinto,994.7195
6955,19.005273437500023,0.5320377140189297,4.905977370077629,5,forte,Quinto,994.11625
7039,39.45821533203127,0.4668698265882653,12.688106026331234,8,forte,Oitavo,989.07766
7040,42.19658813476565,0.4632271395888053,9.815474375208519,8,forte,Oitavo,988.65375
7041,41.31520996093752,0.4675507474061259,6.667202745520878,8,forte,Oitavo,987.4631
